NW(3 ,207): awe
N (3 ,208): fall
NE(3 ,208): fee
SW(3 ,214): sial
SW(3 ,217): who
SW(3 ,217): whom
N (3 ,220): air
NW(3 ,222): mar
NW(3 ,225): oak
S (3 ,227): cud
N (3 ,233): quo
S (3 ,239): hub
NE(3 ,239): hut
NE(3 ,242): leg
N (3 ,243): yet
E (3 ,243): yah
S (3 ,244): aid
W (3 ,245): hay
SE(3 ,245): hug
SE(3 ,245): huge
NE(4 ,3): gab
SE(4 ,4): sod
SW(4 ,6): hop
E (4 ,10): lac
E (4 ,10): lace
E (4 ,11): ace
N (4 ,12): cue
S (4 ,14): mat
NE(4 ,15): cue
SW(4 ,15): cap
SW(4 ,16): cit
N (4 ,17): vie
E (4 ,18): act
S (4 ,21): bat
NE(4 ,24): oaf
SE(4 ,28): nun
E (4 ,34): cam
NW(4 ,34): cud
NE(4 ,35): axe
SE(4 ,35): abbe
S (4 ,41): oar
SE(4 ,41): oft
W (4 ,44): cub
NE(4 ,44): cop
NE(4 ,44): cope
SW(4 ,44): cit
SE(4 ,44): cot
S (4 ,47): she
W (4 ,47): sun
SW(4 ,47): say
NE(4 ,63): vex
N (4 ,64): sea
NW(4 ,69): mud
SE(4 ,72): wit
SW(4 ,73): bib
NE(4 ,74): all
W (4 ,75): jab
SW(4 ,76): pot
SE(4 ,76): prig
N (4 ,77): kivu
E (4 ,82): due
SE(4 ,85): ace
SW(4 ,91): via
NE(4 ,92): kit
NE(4 ,93): bon
N (4 ,94): not
NE(4 ,103): gun
NW(4 ,103): get
E (4 ,110): hurl
NE(4 ,112): rap
NW(4 ,113): lit
SE(4 ,113): low
E (4 ,114): sip
NW(4 ,114): sac
SW(4 ,117): mow
SE(4 ,117): min
NE(4 ,118): hand
N (4 ,119): jab
SE(4 ,124): you
N (4 ,125): ink
E (4 ,135): tow
W (4 ,147): ape
NW(4 ,147): ado
SE(4 ,153): via
E (4 ,157): arm
N (4 ,164): hap
S (4 ,164): hub
